index,Date,Linea_1_R,Linea_1_S,Linea_1_T,Linea_2_R,Linea_2_S,Linea_2_T,Linea_3_R,Linea_3_S,Linea_3_T,Linea_4_R,Linea_4_S,Linea_4_T,Linea_5_R,Linea_5_S,Linea_5_T,Linea_6_R,Linea_6_S,Linea_6_T,Linea_7_R,Linea_7_S,Linea_7_T,Linea_8_R,Linea_8_S,Linea_8_T
0,2020-02-01 00:00:00,1748.9189014975527,965.2637384203176,2426.903539296632,835.8678967891652,698.8722736459532,1567.473336827379,1375.6468480997282,3294.071301695966,2475.091148158808,6425.431306996728,4432.5107257681775,2970.8700574966824,1438.429843897514,4279.903094584885,906.331403455011,1190.1944658226444,1752.4387670253948,999.3015876582174,1322.362512665235,771.4993298970244,401.1111980955313,403.9523637994284,614.4452654904976,420.0401959208071
1,2020-02-01 01:00:00,1764.9260194164945,846.9814397109151,2516.696331364048,757.9872837410417,631.191075923949,1427.5098488891156,347.76983782626246,2266.16232072033,1612.109319614524,5473.829657542202,4171.659837108119,1568.905726509391,669.4218904367835,3355.5841291311167,777.8813879446224,864.7619291575015,1764.6888249522017,760.9745293299627,814.3882573995046,454.2820551285321,453.85246296206606,262.53685656896624,1141.0765932066067,347.56685757774363
2,2020-02-01 02:00:00,1515.7145357250472,390.9225752004287,1628.1964438939383,478.4577664467725,435.410041419806,1162.9064594483984,386.2634702739154,1021.0353390751942,1070.7193903834122,5048.35831834374,3057.8549151599736,2472.8851742999764,599.1939098971727,3232.095871292632,634.216738989357,420.421317018468,936.9707227560184,458.3422555437832,603.6034482860458,469.4234269733603,315.5095212446385,156.72076105556596,395.1089800635772,214.92308084854645
3,2020-02-01 03:00:00,935.8799049199528,292.3687889816802,1313.2680294253607,269.7938729575859,121.46084423083852,824.6060912403027,437.2144170842352,1010.9669479216608,710.4338059790712,5025.862528440885,3206.122222822948,1937.090589135243,615.4411272460125,3076.341069096242,583.6313209313784,306.81726751032846,493.85885496015874,327.858362385918,348.4640605830956,435.8922125722443,300.8222636637212,73.41069047528336,320.3126167918226,79.50361652412437
4,2020-02-01 04:00:00,814.8351215600583,408.28676843699526,1369.6970790508076,279.9441360320679,89.57529762841068,924.9581207983996,391.67166572892256,427.6725293338277,553.1381032009006,4725.651323044945,2362.373048554342,1327.5226817921202,549.0710687917635,3090.9222993798817,607.6767042668528,354.8064129493841,484.7826547749801,382.5423197153902,349.8083622503503,379.2067735437953,319.0469441258232,108.78630331357316,250.9823879158605,68.62984507238578
5,2020-02-01 05:00:00,827.7332516790475,554.8196752262254,1405.456738674233,277.3808048283397,55.51529178005552,682.135771689448,330.3879966404239,698.4223320931358,484.1527253537537,4828.021910139305,748.3467998210774,1224.5732370334165,1048.2059319668629,3439.3293542178258,1002.021694387752,214.1310899911665,342.7187874070337,245.99850062965945,359.1449498663533,543.2357540936688,204.4842711367303,97.35848769792744,341.9328014294307,197.0742312828228
6,2020-02-01 06:00:00,829.9143894002432,407.54216180598576,1218.2000124429103,261.3383974614956,67.33558665916514,760.5519538246949,254.54777395670072,488.2089289388719,377.1237276745576,4834.50102906022,408.8288351437284,1215.0264096463477,1461.6648421502066,5145.234272147096,1387.6676223154282,297.4756306371426,399.2824909337447,346.2097725567071,328.0521387329099,298.9812072173634,222.965016743002,68.35750028117607,649.983745479083,44.21762069825895
7,2020-02-01 07:00:00,730.5868121616178,430.1472179649447,1275.9402858261367,235.67188608536773,70.13187716388057,672.1105142587446,262.7338655690419,390.26461355436953,512.7349963431515,4278.116298824373,407.6290921561732,1500.4499651160993,1180.2022551105154,7226.930731549069,1162.6941666301295,310.5376868698435,491.6248243689368,371.63172791864713,328.7425805051424,422.9479556837518,205.8539326429813,92.77461094623224,418.8595366406648,129.10516037868098
8,2020-02-01 08:00:00,1094.4493652595393,436.3894135043098,1863.3171281260868,193.84066501523475,103.65583634389871,1256.999099083604,771.7903181788446,755.1920979503993,572.140081143344,4516.481458834434,735.458655616438,1729.6624979451728,1777.3495911296689,6361.747271870063,1491.695223153571,286.74572011482456,616.4108099127169,339.9429894630157,437.9506775685288,375.903186628094,410.6413153768493,448.51530429203393,2303.396320050496,282.94110460047915
9,2020-02-01 09:00:00,847.429921270126,544.6996875425492,1157.904003390509,363.56285124961687,64.91776936909581,1084.2600851997745,758.8760438491497,2048.941109015116,1096.9103115342682,5422.304923164534,1074.4306253799652,1706.9818787166396,1579.4819801287492,5594.821629235628,1606.086161055427,664.1961964093897,1643.788587612995,684.352898824209,542.6243039306687,476.9300070297496,328.3123367132563,136.16989143724308,1391.94599224756,145.28052269551583
10,2020-02-01 10:00:00,1288.977482493732,1173.692667613315,1906.4402776827324,558.0575418481857,170.72782048603085,944.4201691256218,2417.9259015560083,4077.472968613316,1475.418035841488,6457.388899047074,1349.110512154527,1862.8896024457413,1910.9650850203109,6811.72197095969,1885.6680549314283,1175.6915852905386,1615.850608412896,1258.3312832153408,548.7045841133194,2493.3703776743378,2318.3494268748723,321.7954506648729,3847.384239441556,159.43736360170504
11,2020-02-01 11:00:00,1866.505754061504,976.9439400093614,1797.1764846450662,789.6899529440012,637.8164202498433,2013.541772171914,4214.816636425989,3601.754244668264,2128.253744687406,8565.560315029019,2083.4370154784824,1567.268736594392,3101.561440754931,9846.324385860062,1214.1983246221655,959.9563220655788,1260.8455039745108,1056.0430183755204,2661.7711778259727,2306.193908097877,989.1996297206196,234.34579621254392,4170.243193148362,144.95019285512262
